Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,pizza,donut,cake
food,16,0.8017777867272673,0.33884585,0.80403554,0.38320854,0.062941596,0.10519781
food,16,0.8018332836513502,0.33356676,0.80523384,0.39268187,0.034984484,0.10136693
food,16,0.7984570275688554,0.3332243,0.80365425,0.38308525,0.040490154,0.105667554
food,16,0.7946339343071415,0.3351387,0.79914033,0.3766897,0.060026802,0.104698084
food,16,0.8073947444021662,0.32787043,0.8081725,0.3866028,0.025929151,0.09077727
food,32,0.8306056325470459,0.38626844,0.8374693,0.47810736,0.07991158,0.14958553
food,32,0.8312501527644606,0.3815326,0.8334396,0.47805902,0.05323397,0.1613978
food,32,0.8297208550845312,0.39128205,0.835671,0.470708,0.09208628,0.16666284
food,32,0.8333908101629107,0.37206137,0.83775175,0.46417072,0.058312584,0.1280105
food,32,0.8219417850645524,0.3823659,0.8268912,0.45466313,0.07892942,0.16897987
food,64,0.8417047903527257,0.40924507,0.8447036,0.5060059,0.089880094,0.19639072
food,64,0.8511018951709327,0.4369961,0.8536577,0.5512823,0.13678895,0.20625545
food,64,0.8601988263521121,0.43212304,0.86141974,0.5691499,0.114963345,0.1829592
food,64,0.85787559421647,0.4295621,0.85971296,0.56090397,0.12877272,0.16885883
food,64,0.8601988263521121,0.43212304,0.86141974,0.5691499,0.114963345,0.1829592
food,64,0.8500658849677774,0.43713805,0.8516283,0.54632246,0.15033072,0.20027079
food,128,0.8435374398225153,0.45343888,0.84891415,0.5784538,0.17371616,0.21267138
food,128,0.8463713644102085,0.4577576,0.8502084,0.57384264,0.19230874,0.21467054
food,128,0.8565291562448832,0.4628213,0.86036867,0.586548,0.17560333,0.22876526
food,128,0.8541064281225007,0.4604651,0.85972905,0.59208304,0.17930712,0.21074131
food,128,0.8665079886119635,0.45964044,0.8690759,0.5948641,0.20985919,0.16476268
food,256,0.8433151913051302,0.42664763,0.8553068,0.54799604,0.15800321,0.14528443
food,256,0.8533452363689948,0.43600643,0.85946983,0.5826448,0.17125879,0.13065225
food,256,0.8398055469890464,0.4354002,0.85133153,0.5891739,0.17079939,0.13029589
food,256,0.8562972042183178,0.43615314,0.8680514,0.5818422,0.1783354,0.11638354
food,256,0.8441934965415117,0.4346122,0.8579952,0.5575879,0.1735384,0.14932734
food,512,0.8515886331412614,0.40738317,0.86341846,0.5316022,0.13611415,0.09839788
food,512,0.8449529736380941,0.42386553,0.86191964,0.5521263,0.13705611,0.14436007
food,512,0.8574281605298423,0.42361286,0.8717455,0.58036965,0.17239234,0.06994389
food,512,0.8604256247478684,0.4303522,0.87282056,0.5654204,0.16579288,0.11737492
food,512,0.863075680153143,0.42448497,0.8724408,0.58812785,0.17222747,0.065143764
