Subset,Resolution,Pixel Accuracy
sky,16,0.8997905997504623
sky,32,0.9240079603350286
sky,64,0.929702492880684
sky,128,0.933438688780675
sky,256,0.938997030210047
sky,512,0.9360218300114173
vehicle,16,0.8413735390849987
vehicle,32,0.8584094956718129
vehicle,64,0.8737589873557984
vehicle,128,0.8770946568974604
vehicle,256,0.8775495792397074
vehicle,512,0.8754314346842429
street,16,0.9520318974992652
street,32,0.9594264419525459
street,64,0.9614602972415685
street,128,0.967445779807535
street,256,0.9657495869154735
street,512,0.9632247634183042
food,16,0.8017777867272673
food,32,0.8306056325470459
food,64,0.8417047903527257
food,128,0.8435374398225153
food,256,0.8433151913051302
food,512,0.8515886331412614
wildlife,16,0.8036271200623056
wildlife,32,0.8535090510632979
wildlife,64,0.8909987736337682
wildlife,128,0.917124293486821
wildlife,256,0.9331543926691165
wildlife,512,0.9212800941045589
