subset,class,percentage
sky,airplane,0.0440458989889658
sky,bird,0.02123350884100649
sky,kite,0.009254450628063049
food,cake,0.056881272398783364
food,pizza,0.11295471715939859
food,donut,0.028166139520469032
street,stop sign,0.018185521106122
street,fire hydrant,0.018496611775464467
street,traffic light,0.011002902682793168
wlidlife,elephant,0.0842788953623274
wlidlife,zebra,0.05883504335383696
wlidlife,giraffe,0.060761743686503535
vehicle,bus,0.07140610536441025
vehicle,truck,0.05897562885015324
vehicle,bicycle,0.01512075704609195
