Dataset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,Class_1_IoU
wildlife,256,0.9302519002091993,0.8067734,0.9169535,0.69659334
sky1,256,0.9157637999055572,0.6557508,0.91073483,0.40076676
sky5,256,0.8995752021615792,0.67844677,0.8898859,0.4670076
airplane,256,0.9309842410503618,0.74355805,0.9242525,0.5628635
vehicle,256,0.9091319451326227,0.684828,0.90122133,0.4684346
vehicle_voc,256,0.8354904482185727,0.6910851,0.7813507,0.6008196
food,256,0.8657360715463519,0.6740682,0.844567,0.50356936
farm,256,0.918412074980596,0.73046374,0.9093101,0.55161744
farm_voc,256,0.8879240343627633,0.7313992,0.8655889,0.59720945
fruit,256,0.8941698363333037,0.6628447,0.8845217,0.44116774
fruit10,256,0.8145560753054735,0.6395345,0.7705198,0.5085491
street1,256,0.9445375469942513,0.73134124,0.9409665,0.52171606
street5,256,0.9099597721309453,0.7049474,0.90068114,0.5092137
street05,256,0.9511648478309768,0.70021546,0.949121,0.4513099
