Dataset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,Class_1_IoU
elephant,16,0.8234521028037384,0.6145177,0.7959257,0.43310964
elephant,32,0.8480395735981309,0.66284966,0.82007635,0.505623
elephant,64,0.8873735944801402,0.74224746,0.8616376,0.62285733
elephant,128,0.9023480281651577,0.7720017,0.8788462,0.66515714
elephant,256,0.9078112450715538,0.78673935,0.8840978,0.6893809
elephant,512,0.9034648164410457,0.77899337,0.8786457,0.6793411
wildlife,16,0.8387089067278287,0.5822811,0.824057,0.3405053
wildlife,32,0.8639270654147554,0.6471119,0.8471014,0.4471224
wildlife,64,0.8948242934107415,0.7239702,0.8777716,0.57016873
wildlife,128,0.9215841030855791,0.7801259,0.90806687,0.65218496
wildlife,256,0.9302519002091993,0.8067734,0.9169535,0.69659334
wildlife,512,0.9267504310024623,0.7991148,0.9128426,0.685387
sky,16,0.9195746527777777,0.548995,0.9181307,0.1798593
sky,32,0.9241228070175439,0.58727914,0.9221276,0.25243068
sky,64,
sky,128,
sky,256,
sky,512,
sky1,256,0.9157637999055572,0.6557508,0.91073483,0.40076676
sky5,256,0.8995752021615792,0.67844677,0.8898859,0.4670076
airplane,16,0.8790176698825504,0.6009363,0.8713318,0.33054075
airplane,32,0.8904431234270134,0.6265584,0.8829017,0.37021512
airplane,64,0.9050637059563759,0.65602803,0.89824414,0.41381195
airplane,128,0.9246705330458264,0.72647846,0.9175081,0.5354488
airplane,256,0.9309842410503618,0.74355805,0.9242525,0.5628635
airplane,512,0.9301270478523818,0.74719167,0.92294866,0.5714346
bird,16,0.9309814453125,0.5274307,0.9302969,0.12456453
bird,32,0.9291397094726562,0.54220235,0.9281978,0.15620685
bird,256,0.927702695170644,0.5868665,0.9259387,0.24779426
vehicle,128,0.9135479616209736,0.69019246,0.90623736,0.4741476
vehicle,256,0.9091319451326227,0.684828,0.90122133,0.4684346
vehicle_voc,32,0.7903814846432254,0.61872053,0.7337337,0.5037073
vehicle_voc,256,0.8354904482185727,0.6910851,0.7813507,0.6008196
food,256,0.8657360715463519,0.6740682,0.844567,0.50356936
food,256,0.879378276491173,0.7034708,0.85869235,0.5482493
food_mono,256,0.8661745490174864,0.6823857,0.8433288,0.52144265
indoor,256,0.7959565005342425,0.54774344,0.774133,0.32135388
farm,256,0.918412074980596,0.73046374,0.9093101,0.55161744
farm_voc,256,0.8879240343627633,0.7313992,0.8655889,0.59720945
kitchen,256,0.8301975644867996,0.55514634,0.81734776,0.29294485
fruit,256,0.8941698363333037,0.6628447,0.8845217,0.44116774
fruit10,256,0.8145560753054735,0.6395345,0.7705198,0.5085491
street1,256,0.9445375469942513,0.73134124,0.9409665,0.52171606
street5,256,0.9099597721309453,0.7049474,0.90068114,0.5092137
street05,256,0.9511648478309768,0.70021546,0.949121,0.4513099
furniture1,256,0.8044727898458564,0.5177911,0.79128003,0.2443022
plant,256,0.9245450928809981,0.7699064,0.91362715,0.62618566
