Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,airplane,bird,kite
sky,16,0.8997905997504623,0.31059015,0.9017369,0.20702477,0.08734121,0.046257697
sky,16,0.9115603129186927,0.31199598,0.9132609,0.20857207,0.10033519,0.02581571
sky,16,0.9191401301365156,0.3145784,0.9194328,0.22834374,0.0890183,0.021518659
sky,16,0.9190215081364674,0.3053555,0.91942,0.22306891,0.053730194,0.025202788
sky,16,0.915949471894049,0.31118736,0.9167867,0.20331986,0.091625065,0.033017732
sky,32,0.9240079603350286,0.35316938,0.92464167,0.28174335,0.12561359,0.08067896
sky,32,0.9209072781549458,0.35981184,0.92147833,0.29065973,0.13198046,0.09512893
sky,32,0.9200523353759311,0.35725185,0.92046714,0.28543097,0.12370203,0.09940729
sky,32,0.9212845624247509,0.34453976,0.9219817,0.27907786,0.11118563,0.06591378
sky,32,0.9206451008013021,0.3580381,0.9210428,0.29737815,0.1414527,0.0722787
sky,64,0.929702492880684,0.38831502,0.9304325,0.3414388,0.15651512,0.12487365
sky,64,0.9236611079092262,0.3876977,0.92437124,0.34846476,0.13972667,0.13822824
sky,64,0.9232159255815098,0.3908627,0.92515624,0.32506177,0.16553812,0.14769465
sky,64,0.9303652028025232,0.379577,0.9309842,0.3485517,0.13242073,0.106351405
sky,64,0.9339895715508163,0.38890305,0.9346115,0.35191426,0.1224921,0.14659443
sky,128,0.933438688780675,0.43129152,0.93467903,0.40550676,0.18996307,0.19501725
sky,128,0.9364427324171996,0.4310036,0.9376876,0.40004846,0.19581945,0.19045886
sky,128,0.9375675613620399,0.41722888,0.93937564,0.38882858,0.18010488,0.16060656
sky,128,0.9365960241119374,0.43000832,0.9378763,0.3736221,0.20370212,0.2048328
sky,128,0.9296400996164268,0.42786577,0.93170196,0.39551303,0.19239216,0.19185604
sky,256,0.938997030210047,0.4329915,0.9404949,0.3567772,0.23344481,0.20124914
sky,256,0.9382725573438347,0.44416928,0.938811,0.4366639,0.20903872,0.19216342
sky,256,0.9396331910583695,0.41872036,0.9415377,0.36855006,0.18604006,0.17875378
sky,256,0.9393241641288097,0.44225606,0.94095874,0.4049386,0.2049733,0.21815358
sky,256,0.9404759203390973,0.43614262,0.9422586,0.40742946,0.18289289,0.21198957
sky,512,0.9360218300114173,0.4417768,0.9369826,0.37276426,0.21069628,0.246664
sky,512,0.9266400059845091,0.4468746,0.9284486,0.40376392,0.21658014,0.23870559
sky,512,0.9183348040377082,0.44584146,0.92012,0.41111287,0.20115462,0.25097835
sky,512,0.9311155292893136,0.45128596,0.93257576,0.39866102,0.22308451,0.2508225
