Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,traffic light,fire hydrant,stop sign
street,16,0.9520318974992652,0.40618336,0.95359796,0.057570226,0.13983525,0.4737299
street,16,0.9510094212034889,0.40812823,0.9523817,0.039193183,0.17062472,0.47031328
street,16,0.9469476410081541,0.39639837,0.9487756,0.04738694,0.14156623,0.4478647
street,16,0.9522693295326279,0.3993168,0.95331955,0.032950655,0.13742396,0.47357297
street,16,0.9479144313058145,0.40284353,0.94993764,0.050627172,0.1556743,0.45513493
street,32,0.9594264419525459,0.45850462,0.96028394,0.053154886,0.20606285,0.6145168
street,32,0.9573815287655294,0.4618382,0.95863146,0.08341126,0.23961961,0.56569034
street,32,0.9593642591315106,0.4751922,0.96048623,0.07769622,0.26402906,0.5985572
street,32,0.9610404862375951,0.46849835,0.9617017,0.059260737,0.24992335,0.6031075
street,32,0.9562713010302383,0.46519327,0.95696425,0.08296506,0.24430802,0.5765359
street,64,0.9643396137982579,0.5317529,0.96448785,0.12221253,0.32079682,0.71951425
street,64,0.9621890496611208,0.52944523,0.9624592,0.105446644,0.3441573,0.70571774
street,64,0.9633822830520885,0.52483153,0.96401083,0.11547562,0.32488686,0.6949528
street,64,0.9634332626709023,0.5331585,0.9640841,0.122246586,0.34983274,0.69647044
street,64,0.9614602972415685,0.51422197,0.96256304,0.120752685,0.2998622,0.6737099
street,128,0.967445779807535,0.5583006,0.9673821,0.17054906,0.34841236,0.746859
street,128,0.9661906197250179,0.5568554,0.96645933,0.15209621,0.34474096,0.76412505
street,128,0.9660827325674634,0.55669236,0.9660736,0.17012258,0.33367246,0.7569009
street,128,0.9687449670709959,0.5610256,0.9685316,0.16581537,0.33934432,0.7704112
street,128,0.9639420663572834,0.5470637,0.96409655,0.18140084,0.31602803,0.7267294
street,256,0.9657495869154735,0.5634625,0.9656466,0.21412061,0.30783507,0.76624763
street,256,0.9675091915575456,0.5529016,0.9673286,0.21743089,0.2691894,0.75765777
street,256,0.9657814356319229,0.5449119,0.96569765,0.1799608,0.29142883,0.7425604
street,256,0.9645987429544104,0.54501563,0.9645165,0.20461112,0.30034548,0.71058947
street,256,0.9671949970247236,0.5640827,0.9670943,0.20695892,0.32174996,0.76052755
street,512,0.9632247634183042,0.5305003,0.9630093,0.224984,0.22841121,0.7055967
street,512,0.9622681567304889,0.5322855,0.9622939,0.21821354,0.25716463,0.69146997
street,512,0.9605796058556826,0.53105205,0.96054745,0.21525306,0.255355,0.6930526
street,512,0.9594389972229185,0.5235733,0.95948565,0.21210298,0.23396416,0.6887404
street,512,0.9628826877132797,0.5211729,0.9627709,0.21153086,0.22422607,0.6861636
