Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,Class IoU
truck,512,0.8877262082297803,0.5526027,0.884027,0.22117843
truck,512,0.8728916961659724,0.55219233,0.8676755,0.23670916
truck,512,0.8528069514626238,0.5519811,0.84481686,0.25914538
truck,512,0.8475691655866959,0.55386066,0.83849967,0.26922172
truck,512,0.86642117739298,0.54818726,0.8606825,0.23569208
truck,256,0.8909662376504007,0.5630437,0.88710064,0.23898679
truck,256,0.8703519060582751,0.57134396,0.8634969,0.27919102
truck,256,0.865773040877216,0.5710355,0.85822964,0.2838414
truck,256,0.8673591040850088,0.57696784,0.8595906,0.2943451
truck,256,0.8914633928311726,0.5740753,0.887137,0.26101354
truck,128,0.892044239914756,0.5929673,0.8868306,0.29910398
truck,128,0.8852241288186538,0.58981407,0.87927455,0.30035365
truck,128,0.8894405279567642,0.59492326,0.8837721,0.30607438
truck,128,0.8875684804209171,0.59512305,0.881628,0.30861816
truck,128,0.8897145857857456,0.58016354,0.8848889,0.27543822
truck,64,0.882070310625329,0.5708819,0.87683505,0.26492873
truck,64,0.8817185948311893,0.5761505,0.8761277,0.27617326
truck,64,0.8811314451951086,0.58123976,0.8751468,0.28733274
truck,64,0.8854071233879995,0.5767054,0.8802493,0.27316147
truck,64,0.8824335627201367,0.58426934,0.87644035,0.2920983
truck,32,0.8749895752699693,0.5485298,0.87023085,0.22682874
truck,32,0.857408948623037,0.5508846,0.8502309,0.2515384
truck,32,0.8795296920529023,0.54761535,0.8752942,0.21993649
truck,32,0.8661760536239829,0.546809,0.8605021,0.23311587
truck,32,0.8709883055191192,0.5404527,0.86627275,0.21463268
truck,16,0.8589007138829677,0.5174209,0.8543758,0.18046603
truck,16,0.8682109609259756,0.52826035,0.86393344,0.19258721
truck,16,0.8660648018381784,0.5270495,0.8616483,0.19245063
truck,16,0.8703075252309994,0.52387166,0.8664739,0.18126944
truck,16,0.8685896965458956,0.5259448,0.8644821,0.1874076
