Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,bicycle,bus,truck
vehicle,16,0.8413735390849987,0.31858197,0.84825176,0.017680157,0.2879495,0.12044641
vehicle,16,0.8345440709685283,0.30187705,0.8458703,0.006445988,0.26401868,0.09117315
vehicle,16,0.842191263856874,0.3250563,0.8506033,0.031347662,0.2839939,0.1342804
vehicle,16,0.8295943277255599,0.31546348,0.837337,0.034613725,0.26983437,0.12006878
vehicle,16,0.8316888638899146,0.3131312,0.84237736,0.017436462,0.2607544,0.1319566
vehicle,32,0.8584094956718129,0.36671758,0.86518186,0.037774943,0.39075863,0.1731548
vehicle,32,0.8580860857818544,0.35956597,0.8655476,0.04775373,0.37780225,0.14716035
vehicle,32,0.8475734152062703,0.3714049,0.8544546,0.06252999,0.38643643,0.18219846
vehicle,32,0.8639630061908353,0.38018975,0.87062526,0.078942575,0.3995852,0.17160599
vehicle,32,0.8592228983828297,0.3750257,0.86653185,0.08664277,0.38219655,0.16473158
vehicle,128,0.8770946568974604,0.45143092,0.88258594,0.22389057,0.47561282,0.22363423
vehicle,128,0.8856649024877377,0.4622376,0.88975996,0.24523547,0.4829588,0.23099619
vehicle,128,0.8817028437881967,0.46603185,0.8864045,0.23377545,0.49089685,0.25305063
vehicle,128,0.8794725306202049,0.43760106,0.8860353,0.21451616,0.45536909,0.19448362
vehicle,128,0.8817059021144406,0.4626754,0.88702595,0.24100873,0.4923363,0.23033053
vehicle,256,0.8775495792397074,0.43815905,0.8838613,0.24890849,0.43543378,0.18443269
vehicle,256,0.8767078184419052,0.4273175,0.88343734,0.24536757,0.4410796,0.13938542
vehicle,256,0.8759293475970347,0.42799965,0.88411236,0.2431363,0.44796976,0.13678013
vehicle,256,0.8689577012260958,0.41940546,0.87836087,0.25135916,0.42171025,0.12619165
vehicle,256,0.8809947262437545,0.42989585,0.887992,0.2506868,0.44481796,0.13608654
vehicle,512,0.8754314346842429,0.38175243,0.8797441,0.25621587,0.3868244,0.00422543
vehicle,512,0.8702771551828549,0.40407118,0.8767743,0.2341988,0.38669994,0.1186117
vehicle,512,0.8764048259025593,0.38822752,0.8791206,0.27471408,0.37084237,0.028233018
vehicle,512,0.8765087087218544,0.40415752,0.8814182,0.23492031,0.3915062,0.10878545
vehicle,512,0.8777182664290282,0.41052485,0.8844882,0.24660626,0.41581145,0.095193535
