Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,elephant,zebra,giraffe
wildlife,16,0.8036271200623056,0.40023327,0.8025007,0.33645222,0.29066834,0.1713118
wildlife,16,0.7981711547575178,0.4064985,0.7995958,0.3139757,0.30396822,0.20845443
wildlife,16,0.8118785946240618,0.40134072,0.80756927,0.35085782,0.31302547,0.13391025
wildlife,16,0.7962199667429856,0.40621725,0.7935117,0.33857092,0.315253,0.17753334
wildlife,16,0.7998228732520308,0.398606,0.8004987,0.31930032,0.29980218,0.17482275
wildlife,16,0.8036271200623056,0.40023327,0.8025007,0.33645222,0.29066834,0.1713118
wildlife,32,0.8535090510632979,0.50879014,0.8454768,0.43438295,0.47057447,0.2847262
wildlife,32,0.8549337860680457,0.5214367,0.8472649,0.44536686,0.49037054,0.3027446
wildlife,32,0.849176510546551,0.5191365,0.8417216,0.44564855,0.4623753,0.32680047
wildlife,32,0.8536847564302372,0.5104873,0.84481144,0.42664084,0.485889,0.28460792
wildlife,32,0.8512872283587736,0.5195162,0.84330285,0.43606922,0.479778,0.318915
wildlife,64,0.8909987736337682,0.63681877,0.8789609,0.55954635,0.6295217,0.47924623
wildlife,64,0.8888221016506889,0.62671024,0.8775979,0.5418968,0.6171276,0.4702186
wildlife,64,0.8894542200051637,0.6329186,0.8767481,0.54528874,0.629219,0.4804185
wildlife,64,0.881940179712858,0.6191062,0.8681776,0.5379758,0.60696584,0.4633055
wildlife,64,0.8907129758952762,0.63732684,0.8778362,0.55291116,0.6297347,0.48882532
wildlife,128,0.917124293486821,0.717412,0.9044352,0.61197907,0.7287622,0.6244715
wildlife,128,0.9209355453998869,0.7254322,0.90882427,0.6196988,0.7412279,0.63197786
wildlife,128,0.9199645627642931,0.7221002,0.90779364,0.6102957,0.74207246,0.628239
wildlife,128,0.9219697830681449,0.72278774,0.9101681,0.618902,0.73765236,0.6244284
wildlife,128,0.923068175481798,0.7264168,0.9112759,0.6185745,0.7389647,0.6368522
wildlife,256,0.9331543926691165,0.7577142,0.9234554,0.6369243,0.78927904,0.6811981
wildlife,256,0.9310785215288683,0.75382173,0.9211573,0.6304312,0.7807534,0.68294495
wildlife,256,0.9330454724003875,0.760384,0.9226148,0.63818973,0.7866417,0.6940897
wildlife,256,0.9323390713416122,0.7603823,0.9216938,0.6361177,0.7882892,0.6954284
wildlife,256,0.9312643108320718,0.753879,0.9211735,0.62873775,0.7758191,0.68978566
wildlife,512,0.9212800941045589,0.7261677,0.91284126,0.56549186,0.75531876,0.6710188
wildlife,512,0.9257665652893107,0.7313777,0.91751164,0.56251585,0.7726037,0.67287964
wildlife,512,0.9165365279434183,0.723205,0.90707934,0.5433919,0.7729102,0.66943854
wildlife,512,0.92418919553306,0.7148085,0.9182842,0.52964437,0.7679692,0.64333636
wildlife,512,0.9250153739444656,0.7309177,0.91668653,0.56365925,0.770596,0.6727291
