Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	step	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Misc_Loss_train	Misc_Loss_val	Misc_Lr_0_train	Misc_F1_Score_train	Misc_F1_Score_val	Misc_Mean_IoU_train	Misc_Mean_IoU_val	Misc_Pixel_Accuracy_train	Misc_Pixel_Accuracy_val	Misc_Precision_train	Misc_Precision_val	Misc_Recall_train	Misc_Recall_val	Misc_Negative_F1_Score_train	Misc_Negative_F1_Score_val	Misc_Negative_Mean_IoU_train	Misc_Negative_Mean_IoU_val	Misc_Negative_Pixel_Accuracy_train	Misc_Negative_Pixel_Accuracy_val	Misc_Negative_Precision_train	Misc_Negative_Precision_val	Misc_Negative_Recall_train	Misc_Negative_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val
0.27353018522262573		0.10000000149011612	1	0.0032557297963649035		0.0016305191675201058		0.7365644574165344		0.21835947036743164		0.001640091766603291		0.005043709184974432		0.0025282304268330336		0.33370375633239746		0.6038995981216431		0.0025324297603219748		-0.35580554604530334		0.10000000149011612	0.002403178019449115		0.0012030345387756824		0.9430370926856995		0.04949307441711426		0.0012314870255067945		0.8466079235076904		0.734015703201294		0.7400028705596924		0.8721798062324524		0.8224928379058838		0.40928295254707336		0.10000000149011612	0.00607374869287014		0.003046124940738082		0.8239727020263672		0.0742429718375206		0.0031663943082094193		0.013071644119918346		0.006578820291906595		0.2438555806875229		0.7387979626655579		0.00659415777772665	
0.11231107264757156	-3.721855878829956		2	0.0	0.0	0.0	0.0	0.7424993515014648	0.7274624109268188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3293406665325165	0.27253758907318115	0.0	0.0	0.0	0.0	0.07706454396247864	0.7775605916976929		0.004174872301518917	0.0	0.002091802656650543	0.0	0.896167516708374	0.9526402950286865	0.004492877516895533	0.0	0.003898908384144306	0.0	0.9324922561645508	0.9757457971572876	0.8735227584838867	0.9526402950286865	0.8735227584838867	0.9526402950286865	0.8735227584838867	0.9526402950286865	1.0	1.0	0.1670856475830078	3.2807457447052		0.0	0.0	0.0	0.0	0.8317463994026184	0.829436719417572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23939469456672668	0.17056331038475037	0.0	0.0	0.0	0.0
0.07355812937021255		0.09875000268220901	3	0.0		0.0		0.741046667098999		0.0		0.0		0.0		0.0		0.3300926685333252		0.0		0.0		0.05562710389494896		0.09875000268220901	0.007222684565931559		0.003624431323260069		0.8964206576347351		0.007689242716878653		0.006809505634009838		0.49334824085235596		0.32744675874710083		0.3637012243270874		0.8119866847991943		0.35431036353111267		0.08286045491695404		0.09875000268220901	0.0		0.0		0.832381546497345		0.0		0.0		0.0		0.0		0.2380983978509903		0.0		0.0	
0.04812309890985489	1.1182687282562256		4	0.0	0.0	0.0	0.0	0.7382609844207764	0.724427342414856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33181217312812805	0.27557268738746643	0.0	0.0	0.0	0.0	-0.02986988052725792	3.9583423137664795		0.004228424280881882	0.08842816948890686	0.0021186915691941977	0.046259403228759766	0.9127079248428345	0.32057201862335205	0.005808711517602205	0.04720797389745712	0.003324090037494898	0.6971724033355713	0.018128853291273117	0.864258885383606	0.009147342294454575	0.7609646916389465	0.10535133630037308	0.7633367776870728	0.21416111290454865	0.9527729153633118	0.009465036913752556	0.7907930612564087	0.04382125660777092	2.155756711959839		0.0	0.0	0.0	0.0	0.8327996730804443	0.829700767993927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2384198009967804	0.1702992171049118	0.0	0.0	0.0	0.0
0.027998456731438637		0.05000000074505806	5	0.0		0.0		0.7391353249549866		0.0		0.0		0.0		0.0		0.3311019837856293		0.0		0.0		0.10576783120632172		0.05000000074505806	0.017830748111009598		0.008995573036372662		0.9037314057350159		0.020538078621029854		0.01575404964387417		0.035763345658779144		0.01820724830031395		0.11438573896884918		0.3698454797267914		0.01879015751183033		0.03218451514840126		0.05000000074505806	0.0		0.0		0.831965982913971		0.0		0.0		0.0		0.0		0.23856303095817566		0.0		0.0	
0.029215829446911812	0.191165030002594		6	0.0	0.0	0.0	0.0	0.7404695749282837	0.7196427583694458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3296140432357788	0.2803572118282318	0.0	0.0	0.0	0.0	-0.6878530979156494	-6.653906345367432		0.009554561227560043	0.0	0.004800212569534779	0.0	0.9271050691604614	0.9510228633880615	0.019460050389170647	0.0	0.006331647280603647	0.0	0.015409165062010288	0.0	0.00776440417394042	0.0	0.1207217201590538	0.04897712543606758	0.3548593521118164	0.0	0.007875574752688408	0.0	0.0517655573785305	-0.5388653874397278		0.0	0.0	0.0	0.0	0.8334285616874695	0.8286639451980591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23678532242774963	0.17133602499961853	0.0	0.0	0.0	0.0
0.0743665024638176		0.02500000037252903	7	0.0		0.0		0.7403271794319153		0.0		0.0		0.6736395359039307		0.507885754108429		0.5689293146133423		0.6842268109321594		0.6633749604225159		5.404235363006592		0.02500000037252903	1.7352143913740292e-05		8.676147444930393e-06		0.9443539381027222		0.010912764817476273		8.682975021656603e-06		6.634458259213716e-05		3.317338996566832e-05		0.12644392251968384		0.15756554901599884		3.3179276215378195e-05		0.006036427803337574		0.02500000037252903	0.0		0.0		0.8348056077957153		0.0		0.0		0.0		0.0		0.2369493991136551		0.0		0.0	
0.6237923502922058	0.7098395824432373		8	0.0	0.0	0.0	0.0	0.7385104298591614	0.7196115255355835	0.0	0.0	0.0	0.0	0.7876027226448059	0.0003207193803973496	0.6496242880821228	0.00016038540343288332	0.6620518565177917	0.2804836630821228	0.6787352561950684	0.8509404063224792	0.9380662441253662	0.00016038991452660412	2.652864694595337	1.4207409620285034		0.0	0.0	0.0	0.0	0.9443826675415039	0.9530184864997864	0.0	0.0	0.0	0.0	0.00044377974700182676	0.015529440715909004	0.00022193911718204618	0.00782548263669014	0.12726984918117523	0.05406014993786812	0.8642019629478455	0.9512691497802734	0.00022194685880094767	0.007828621193766594	-0.007301010191440582	1.0986158847808838		0.0	0.0	0.0	0.0	0.8323574662208557	0.8301204442977905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23838786780834198	0.16987952589988708	0.0	0.0	0.0	0.0
0.28957194089889526		0.024687500670552254	9	0.0		0.0		0.740375280380249		0.0		0.0		0.6166533827781677		0.4457692801952362		0.5376031398773193		0.6931745409965515		0.5553473830223083		-0.6739481091499329		0.024687500670552254	0.03436541184782982		0.017483113333582878		0.876671552658081		0.030378537252545357		0.039556846022605896		0.340690016746521		0.2053202986717224		0.2611064910888672		0.7727516889572144		0.21851415932178497		-0.03542960062623024		0.024687500670552254	0.0		0.0		0.83233642578125		0.0		0.0		0.0		0.0		0.23815739154815674		0.0		0.0	
0.0244508795440197	0.354616641998291		10	0.0	0.0	0.0	0.0	0.7394406795501709	0.7248676419258118	0.0	0.0	0.0	0.0	0.6537884473800659	0.7235178351402283	0.48565059900283813	0.5668060183525085	0.5681431889533997	0.6013995409011841	0.7038803696632385	0.727580189704895	0.6103524565696716	0.7195005416870117	-0.026460101827979088	4.098459243774414		0.0327485166490078	0.0	0.016646837815642357	0.0	0.880733847618103	0.9529973864555359	0.029643844813108444	0.0	0.03657958284020424	0.0	0.10817094147205353	0.0034953197464346886	0.05717796832323074	0.0017507196171209216	0.14884251356124878	0.048638083040714264	0.6413537263870239	0.9860368371009827	0.059066567569971085	0.0017507629236206412	-0.10052250325679779	0.942540168762207		0.0	0.0	0.0	0.0	0.830590546131134	0.8294876217842102	0.0	0.0	0.0	0.0	0.8475582599639893	0.8331921100616455	0.7354456186294556	0.7140782475471497	0.7476034164428711	0.7213001251220703	0.7833988070487976	0.8273448944091797	0.9231643080711365	0.8391225934028625
