step	Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val	Track_Loss_train	Track_Loss_val	Track_Lr_0_train	Track_F1_Score_train	Track_F1_Score_val	Track_Mean_IoU_train	Track_Mean_IoU_val	Track_Pixel_Accuracy_train	Track_Pixel_Accuracy_val	Track_Precision_train	Track_Precision_val	Track_Recall_train	Track_Recall_val	Track_Negative_F1_Score_train	Track_Negative_F1_Score_val	Track_Negative_Mean_IoU_train	Track_Negative_Mean_IoU_val	Track_Negative_Pixel_Accuracy_train	Track_Negative_Pixel_Accuracy_val	Track_Negative_Precision_train	Track_Negative_Precision_val	Track_Negative_Recall_train	Track_Negative_Recall_val	Trees_Loss_train	Trees_Loss_val	Trees_Lr_0_train	Trees_F1_Score_train	Trees_F1_Score_val	Trees_Mean_IoU_train	Trees_Mean_IoU_val	Trees_Pixel_Accuracy_train	Trees_Pixel_Accuracy_val	Trees_Precision_train	Trees_Precision_val	Trees_Recall_train	Trees_Recall_val	Trees_Negative_F1_Score_train	Trees_Negative_F1_Score_val	Trees_Negative_Mean_IoU_train	Trees_Negative_Mean_IoU_val	Trees_Negative_Pixel_Accuracy_train	Trees_Negative_Pixel_Accuracy_val	Trees_Negative_Precision_train	Trees_Negative_Precision_val	Trees_Negative_Recall_train	Trees_Negative_Recall_val	Crops_Loss_train	Crops_Loss_val	Crops_Lr_0_train	Crops_F1_Score_train	Crops_F1_Score_val	Crops_Mean_IoU_train	Crops_Mean_IoU_val	Crops_Pixel_Accuracy_train	Crops_Pixel_Accuracy_val	Crops_Precision_train	Crops_Precision_val	Crops_Recall_train	Crops_Recall_val	Crops_Negative_F1_Score_train	Crops_Negative_F1_Score_val	Crops_Negative_Mean_IoU_train	Crops_Negative_Mean_IoU_val	Crops_Negative_Pixel_Accuracy_train	Crops_Negative_Pixel_Accuracy_val	Crops_Negative_Precision_train	Crops_Negative_Precision_val	Crops_Negative_Recall_train	Crops_Negative_Recall_val	Waterway_Loss_train	Waterway_Loss_val	Waterway_Lr_0_train	Waterway_F1_Score_train	Waterway_F1_Score_val	Waterway_Mean_IoU_train	Waterway_Mean_IoU_val	Waterway_Pixel_Accuracy_train	Waterway_Pixel_Accuracy_val	Waterway_Precision_train	Waterway_Precision_val	Waterway_Recall_train	Waterway_Recall_val	Waterway_Negative_F1_Score_train	Waterway_Negative_F1_Score_val	Waterway_Negative_Mean_IoU_train	Waterway_Negative_Mean_IoU_val	Waterway_Negative_Pixel_Accuracy_train	Waterway_Negative_Pixel_Accuracy_val	Waterway_Negative_Precision_train	Waterway_Negative_Precision_val	Waterway_Negative_Recall_train	Waterway_Negative_Recall_val
0	0.5977838039398193		0.10000000149011612	0.009432356804609299		0.004738525953143835		0.7382920384407043		0.25440919399261475		0.004805257078260183		0.0010068615665659308		0.0005036843358539045		0.32900470495224		0.5272155404090881		0.0005039119278080761		0.4293568432331085		0.10000000149011612	0.011391161009669304		0.005728206131607294		0.8280952572822571		0.174668550491333		0.005887561943382025		0.1857440173625946		0.10238026827573776		0.29518184065818787		0.7665463089942932		0.10567524284124374		-0.4234732687473297		0.10000000149011612	0.0022758643608540297		0.0011392285814508796		0.8469784259796143		0.13588562607765198		0.0011475419159978628		0.6127830147743225		0.44173553586006165		0.5028339624404907		0.7752590179443359		0.5066096186637878		0.5415700674057007		0.10000000149011612	0.0021318120416253805		0.0010670433985069394		0.5009329915046692		0.4127400517463684		0.0010686658788472414		0.013017860241234303		0.006551573984324932		0.5687128305435181		0.4220954179763794		0.006610873620957136		0.18499165773391724		0.10000000149011612	0.005253862123936415		0.0026338500902056694		0.5616670846939087		0.3848554790019989		0.0026449852157384157		0.011962343007326126		0.006017161067575216		0.5081473588943481		0.47494935989379883		0.006057454738765955		0.8023086190223694		0.10000000149011612	0.010479943826794624		0.005267573986202478		0.7962624430656433		0.09122446924448013		0.005559300538152456		0.021319415420293808		0.010774561204016209		0.26929739117622375		0.7103923559188843		0.010822096839547157	
1	0.43998903036117554	1.0491869449615479		0.0	0.0	0.0	0.0	0.7412004470825195	0.7214369177818298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3297725319862366	0.27856311202049255	0.0	0.0	0.0	0.0	2.011488676071167	4.502660274505615		0.05928125977516174	0.2794065773487091	0.0305460337549448	0.16238966584205627	0.8023518919944763	0.3819126486778259	0.14470471441745758	0.17562364041805267	0.03727608546614647	0.6830445528030396	0.8579843044281006	0.9038481116294861	0.751289427280426	0.8245646357536316	0.7523861527442932	0.8245646357536316	0.7624897956848145	0.8245646357536316	0.9808229804039001	1.0	0.30244728922843933	2.0342085361480713		0.18859824538230896	0.17914365231990814	0.10411729663610458	0.09838428348302841	0.5984813570976257	0.4004557728767395	0.13617846369743347	0.10458685457706451	0.3066311478614807	0.6239104866981506	0.8740842938423157	0.9446699023246765	0.776331901550293	0.8951416015625	0.776331901550293	0.8951416015625	0.776331901550293	0.8951416015625	1.0	1.0	0.922265350818634	1.068691611289978		0.0	0.0	0.0	0.0	0.4989822804927826	0.7863855361938477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5719298720359802	0.21361446380615234	0.0	0.0	0.0	0.0	-0.03412092104554176	0.8221113681793213		0.13983826339244843	0.009702912531793118	0.07517533004283905	0.004875107668340206	0.5582162737846375	0.521689772605896	0.45782139897346497	0.48532649874687195	0.08252201229333878	0.004900442436337471	0.4075261652469635	0.016709741204977036	0.2559075951576233	0.00842526275664568	0.5078672170639038	0.47773993015289307	0.5027824640274048	0.47696658968925476	0.34261491894721985	0.008503829129040241	0.18448500335216522	2.0044209957122803		0.0	0.0	0.0	0.0	0.806164562702179	0.4891539216041565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2648988962173462	0.5108460783958435	0.0	0.0	0.0	0.0
2	0.22821520268917084		0.09875000268220901	0.0		0.0		0.741495668888092		0.0		0.0		0.0		0.0		0.32966336607933044		0.0		0.0		0.8829686045646667		0.09875000268220901	0.30196917057037354		0.1778349131345749		0.25778505206108093		0.17940674722194672		0.9530466198921204		0.8604897856712341		0.7551400065422058		0.7554855942726135		0.7605038285255432		0.9907464981079102		0.10409176349639893		0.09875000268220901	0.04049462825059891		0.020665738731622696		0.7712512016296387		0.05544348433613777		0.0318949930369854		0.8744427561759949		0.7768976092338562		0.7768976092338562		0.7768976092338562		1.0		0.7395928502082825		0.09875000268220901	0.0		0.0		0.5015732049942017		0.0		0.0		0.0		0.0		0.5697028040885925		0.0		0.0		0.25274914503097534		0.09875000268220901	0.5588199496269226		0.38775163888931274		0.4689793884754181		0.4451434910297394		0.7504668831825256		0.6003749370574951		0.4289541244506836		0.4423455595970154		0.45822542905807495		0.8703827857971191		0.36813926696777344		0.09875000268220901	0.0		0.0		0.8048350214958191		0.0		0.0		0.0		0.0		0.26624155044555664		0.0		0.0	
3	0.11403178423643112	-5.981569290161133		0.0	0.0	0.0	0.0	0.7410549521446228	0.7248130440711975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33053383231163025	0.2751869857311249	0.0	0.0	0.0	0.0	0.4423154294490814	2.086285352706909		0.2991395890712738	0.2938339114189148	0.1758754402399063	0.17221881449222565	0.22396935522556305	0.17235523462295532	0.1765802800655365	0.17222300171852112	0.9778078198432922	0.9998591542243958	0.8637261390686035	0.9057796001434326	0.760138988494873	0.827785313129425	0.760138988494873	0.827785313129425	0.760138988494873	0.827785313129425	1.0	1.0	0.05694000795483589	0.8515238165855408		0.012868471443653107	0.0	0.00647590309381485	0.0	0.7864246964454651	0.8949449062347412	0.021883197128772736	0.0	0.009113987907767296	0.0	0.8736079335212708	0.9445603489875793	0.775580644607544	0.8949449062347412	0.775580644607544	0.8949449062347412	0.775580644607544	0.8949449062347412	1.0	1.0	0.6127869486808777	1.2012882232666016		0.0	0.0	0.0	0.0	0.5015004873275757	0.7796575427055359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.570310652256012	0.2203424572944641	0.0	0.0	0.0	0.0	-0.15080194175243378	0.6631736755371094		0.672572135925293	0.659575343132019	0.5066732168197632	0.4920644760131836	0.6827208399772644	0.4920644760131836	0.6263304352760315	0.4920644760131836	0.7261861562728882	1.0	0.5925396680831909	0.6736833453178406	0.4209991991519928	0.5079355239868164	0.4316859245300293	0.5079355239868164	0.45187094807624817	0.5079355239868164	0.8603777289390564	1.0	0.0452592596411705	1.113808035850525		0.0	0.0	0.0	0.0	0.8084219098091125	0.47506076097488403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26154109835624695	0.524939239025116	0.0	0.0	0.0	0.0
4	0.11912105977535248		0.05000000074505806	0.0		0.0		0.7400041222572327		0.0		0.0		0.0		0.0		0.33062106370925903		0.0		0.0		0.37887293100357056		0.05000000074505806	0.29684746265411377		0.1742929369211197		0.226022407412529		0.1751207411289215		0.9735949039459229		0.8647511601448059		0.7617282867431641		0.7617282867431641		0.7617282867431641		1.0		0.03726423159241676		0.05000000074505806	0.0027098460122942924		0.0013567613204941154		0.7953066229820251		0.00523241376504302		0.0018283777171745896		0.8748987317085266		0.7776177525520325		0.7776177525520325		0.7776177525520325		1.0		0.5540187358856201		0.05000000074505806	0.0		0.0		0.49912726879119873		0.0		0.0		0.0		0.0		0.5717445015907288		0.0		0.0		0.00791188795119524		0.05000000074505806	0.5568963885307312		0.38590186834335327		0.6204546689987183		0.5766569375991821		0.538445234298706		0.6542541980743408		0.48616477847099304		0.48616477847099304		0.48616477847099304		1.0		0.044748455286026		0.05000000074505806	0.0		0.0		0.8113625049591064		0.0		0.0		0.0		0.0		0.2591002285480499		0.0		0.0	
5	0.11380217969417572	-1.9505301713943481		0.0	0.0	0.0	0.0	0.7373091578483582	0.7248117327690125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33366262912750244	0.27518826723098755	0.0	0.0	0.0	0.0	0.34624889492988586	1.9243671894073486		0.30246442556381226	0.2934119701385498	0.1781785488128662	0.1719290018081665	0.2376360148191452	0.1739155352115631	0.17900478839874268	0.17207765579223633	0.9747490882873535	0.9950004816055298	0.8635081648826599	0.9056816101074219	0.7598015069961548	0.8276216387748718	0.7598015069961548	0.8276216387748718	0.7598015069961548	0.8276216387748718	1.0	1.0	0.02860569767653942	0.35086989402770996		0.0032320083118975163	0.0	0.0016186197753995657	0.0	0.7964151501655579	0.8947117924690247	0.0063615962862968445	0.0	0.0021662977524101734	0.0	0.7296624183654785	0.0	0.5743846893310547	0.0	0.5959073901176453	0.10528822988271713	0.7606497406959534	0.0	0.7011010050773621	0.0	0.4551870822906494	1.1995528936386108		0.0	0.0	0.0	0.0	0.4996508061885834	0.7932968735694885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5713773369789124	0.20670314133167267	0.0	0.0	0.0	0.0	-0.1663779765367508	-0.20171131193637848		0.7719487547874451	0.6592671871185303	0.6285965442657471	0.4917215406894684	0.7771821618080139	0.7077028155326843	0.7182580828666687	0.7489705681800842	0.83431476354599	0.5887528657913208	0.645765483379364	0.683954119682312	0.47684910893440247	0.5197038650512695	0.47684910893440247	0.5197038650512695	0.47684910893440247	0.5197038650512695	1.0	1.0	-0.004389861598610878	-3.7715470790863037		0.0	0.0	0.0	0.0	0.8078151345252991	0.4885985851287842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26287153363227844	0.5114014148712158	0.0	0.0	0.0	0.0
6	0.07640305906534195		0.02500000037252903	0.0		0.0		0.738438069820404		0.0		0.0		0.0		0.0		0.3321928381919861		0.0		0.0		0.2971688508987427		0.02500000037252903	0.2999948263168335		0.17646701633930206		0.23848111927509308		0.17744828760623932		0.9696155190467834		0.8640232086181641		0.7605993151664734		0.7605993151664734		0.7605993151664734		1.0		0.01282402966171503		0.02500000037252903	0.000489209545776248		0.0002446646394673735		0.7962636351585388		0.0009748451411724091		0.0003265387495048344		0.0021430100314319134		0.001072654384188354		0.17187319695949554		0.016642192378640175		0.001145241199992597		0.34759756922721863		0.02500000037252903	0.0		0.0		0.49896812438964844		0.0		0.0		0.0		0.0		0.5712718963623047		0.0		0.0		-0.2424858808517456		0.02500000037252903	0.7615776658058167		0.6149579882621765		0.7618241906166077		0.6735759377479553		0.8760297298431396		0.6622585654258728		0.49505725502967834		0.49505725502967834		0.49505725502967834		1.0		-0.060508064925670624		0.02500000037252903	0.0		0.0		0.81177818775177		0.0		0.0		0.8076302409172058		0.6773320436477661		0.6995149254798889		0.7680584788322449		0.8515010476112366	
7	0.06623122096061707	-1.27993905544281		0.0	0.0	0.0	0.0	0.7412410378456116	0.7229527235031128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3297983407974243	0.2770472764968872	0.0	0.0	0.0	0.0	0.2802138030529022	1.8820586204528809		0.3048594892024994	0.2796134650707245	0.17984318733215332	0.16252943873405457	0.24957753717899323	0.17274777591228485	0.18086126446723938	0.16423523426055908	0.9696504473686218	0.9399341940879822	0.8636254072189331	0.9066222906112671	0.7599830627441406	0.8291940689086914	0.7599830627441406	0.8291940689086914	0.7599830627441406	0.8291940689086914	1.0	1.0	0.0040537393651902676	-0.014229981228709221		0.00014101887063588947	0.0	7.051441207295284e-05	0.0	0.7990480661392212	0.8962715864181519	0.0002881787659134716	0.0	9.334949572803453e-05	0.0	0.0007265983149409294	0.00012443172454368323	0.0003634312015492469	6.221973308129236e-05	0.171787291765213	0.1037788987159729	0.005879851058125496	0.9136718511581421	0.0003872246597893536	6.222009687917307e-05	0.2757332921028137	2.3396406173706055		0.0	0.0	0.0	0.0	0.49823155999183655	0.7822409868240356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5719045996665955	0.21775902807712555	0.0	0.0	0.0	0.0	-0.2671431303024292	-0.1655179262161255		0.7419551610946655	0.5482170581817627	0.5897684693336487	0.37761643528938293	0.7357196807861328	0.5862606167793274	0.6401569247245789	0.5802198052406311	0.8822514414787292	0.5195601582527161	0.6649817824363708	0.6814762949943542	0.4981068968772888	0.5168479681015015	0.4981068968772888	0.5168479681015015	0.4981068968772888	0.5168479681015015	1.0	1.0	-1.2003321647644043	1.0052772760391235		0.0	0.0	0.0	0.0	0.8092017769813538	0.5100907683372498	0.0	0.0	0.0	0.0	0.8508569598197937	0.0	0.7404273748397827	0.0	0.7448091506958008	0.48990923166275024	0.7487015724182129	0.0	0.9852937459945679	0.0
8	0.0716952458024025		0.024687500670552254	0.0		0.0		0.7413384914398193		0.0		0.0		0.0		0.0		0.32840532064437866		0.0		0.0		0.296213835477829		0.024687500670552254	0.30351024866104126		0.17890484631061554		0.2537725865840912		0.17998337745666504		0.9675906896591187		0.8640926480293274		0.7607069611549377		0.7607069611549377		0.7607069611549377		1.0		0.017610518261790276		0.024687500670552254	0.006519627757370472		0.003270474961027503		0.8026049137115479		0.013922590762376785		0.004256400745362043		0.02377377450466156		0.012029885314404964		0.18641027808189392		0.17684930562973022		0.012743434868752956		0.23721528053283691		0.024687500670552254	0.0		0.0		0.4988919794559479		0.0		0.0		0.0		0.0		0.5724037885665894		0.0		0.0		-0.2888902723789215		0.024687500670552254	0.7294307351112366		0.5740975737571716		0.7171889543533325		0.6232948303222656		0.8791309595108032		0.6626860499382019		0.4955351650714874		0.4955351650714874		0.4955351650714874		1.0		1.341001272201538		0.024687500670552254	0.0009277063072659075		0.00046406840556301177		0.8051773309707642		0.10127633810043335		0.0004659874248318374		0.8465509414672852		0.7339300513267517		0.7363201379776001		0.7394324541091919		0.989962637424469	
9	0.058620672672986984	-1.3719584941864014		0.0	0.0	0.0	0.0	0.7419168949127197	0.7249282598495483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32789164781570435	0.2750717103481293	0.0	0.0	0.0	0.0	0.24521155655384064	1.5042445659637451		0.3040539026260376	0.2725638151168823	0.1792827546596527	0.15778516232967377	0.24587243795394897	0.19324342906475067	0.18034887313842773	0.16133596003055573	0.9680799245834351	0.8775890469551086	0.863111138343811	0.9057738184928894	0.7591869235038757	0.8277756571769714	0.7591869235038757	0.8277756571769714	0.7591869235038757	0.8277756571769714	1.0	1.0	-0.03783881291747093	-0.2782750427722931		0.001281356206163764	9.122005621975404e-07	0.0006410888163372874	4.5610050847244565e-07	0.8309467434883118	0.8954535126686096	0.006019244436174631	0.006861063651740551	0.0007169937016442418	4.5613060706273245e-07	0.003048320533707738	0.00019181576499249786	0.001526486943475902	9.591707930667326e-05	0.2035803198814392	0.10462190210819244	0.059447068721055984	0.9597708582878113	0.0015642663929611444	9.591746493242681e-05	0.19209781289100647	2.9140031337738037		0.0	0.0	0.0	0.0	0.4990251660346985	0.7811131477355957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5724110007286072	0.2188868373632431	0.0	0.0	0.0	0.0	-0.30998727679252625	-0.5285537242889404		0.729317307472229	0.7374191284179688	0.5739570260047913	0.5840569138526917	0.7096918225288391	0.712517261505127	0.6147407293319702	0.6474603414535522	0.8963878154754639	0.8564095497131348	0.659826934337616	0.691648542881012	0.49234458804130554	0.5286412239074707	0.49234458804130554	0.5286412239074707	0.49234458804130554	0.5286412239074707	1.0	1.0	0.8710641264915466	0.48448818922042847		0.0035265430342406034	0.006828206591308117	0.0017663862090557814	0.003425799310207367	0.8102415800094604	0.5028483867645264	0.09690631926059723	0.4427564740180969	0.0017959499964490533	0.0034406341146677732	0.7706850171089172	0.6693305969238281	0.6269223093986511	0.5030028820037842	0.6306957602500916	0.5038497447967529	0.714211642742157	0.5035802125930786	0.836855947971344	0.9977260231971741
