step	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Misc_F1_Score_train	Misc_F1_Score_val	Misc_Mean_IoU_train	Misc_Mean_IoU_val	Misc_Pixel_Accuracy_train	Misc_Pixel_Accuracy_val	Misc_Precision_train	Misc_Precision_val	Misc_Recall_train	Misc_Recall_val	Misc_Loss_train	Misc_Loss_val	Misc_Lr_0_train	Misc_Negative_F1_Score_train	Misc_Negative_F1_Score_val	Misc_Negative_Mean_IoU_train	Misc_Negative_Mean_IoU_val	Misc_Negative_Pixel_Accuracy_train	Misc_Negative_Pixel_Accuracy_val	Misc_Negative_Precision_train	Misc_Negative_Precision_val	Misc_Negative_Recall_train	Misc_Negative_Recall_val	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val	Track_F1_Score_train	Track_F1_Score_val	Track_Mean_IoU_train	Track_Mean_IoU_val	Track_Pixel_Accuracy_train	Track_Pixel_Accuracy_val	Track_Precision_train	Track_Precision_val	Track_Recall_train	Track_Recall_val	Track_Loss_train	Track_Loss_val	Track_Lr_0_train	Track_Negative_F1_Score_train	Track_Negative_F1_Score_val	Track_Negative_Mean_IoU_train	Track_Negative_Mean_IoU_val	Track_Negative_Pixel_Accuracy_train	Track_Negative_Pixel_Accuracy_val	Track_Negative_Precision_train	Track_Negative_Precision_val	Track_Negative_Recall_train	Track_Negative_Recall_val	Trees_F1_Score_train	Trees_F1_Score_val	Trees_Mean_IoU_train	Trees_Mean_IoU_val	Trees_Pixel_Accuracy_train	Trees_Pixel_Accuracy_val	Trees_Precision_train	Trees_Precision_val	Trees_Recall_train	Trees_Recall_val	Trees_Loss_train	Trees_Loss_val	Trees_Lr_0_train	Trees_Negative_F1_Score_train	Trees_Negative_F1_Score_val	Trees_Negative_Mean_IoU_train	Trees_Negative_Mean_IoU_val	Trees_Negative_Pixel_Accuracy_train	Trees_Negative_Pixel_Accuracy_val	Trees_Negative_Precision_train	Trees_Negative_Precision_val	Trees_Negative_Recall_train	Trees_Negative_Recall_val
1	0.016858920454978943		0.008501119911670685		0.7365524768829346		0.25829318165779114		0.008713838644325733		0.462726891040802		0.10000000149011612	0.00967319868505001		0.004860105458647013		0.3304920494556427		0.5921054482460022		0.004876432009041309		0.05850286781787872		0.03013286180794239		0.8877266645431519		0.054283175617456436		0.06343388557434082		-0.8660203218460083		0.10000000149011612	0.014886016957461834		0.007498822174966335		0.13106992840766907		0.8543474078178406		0.007508421316742897		0.011305213905870914		0.005684740841388702		0.8262207508087158		0.1385124772787094		0.00589310098439455		-0.04594360664486885		0.10000000149011612	0.003319318173453212		0.0016624181298539042		0.23953700065612793		0.6726996302604675		0.0016637637745589018		0.003676610765978694		0.001841690973378718		0.8462646007537842		0.13020062446594238		0.001864632242359221		3.9821434020996094		0.10000000149011612	0.010349768213927746		0.005201803054660559		0.22571514546871185		0.7583094239234924		0.005210441537201405		0.002250512596219778		0.0011265239445492625		0.4991081655025482		0.3857456147670746		0.001128548406995833		0.49788790941238403		0.10000000149011612	0.006696139927953482		0.0033593170810490847		0.5707017183303833		0.40033045411109924		0.003376306965947151	
2	0.0	0.0	0.0	0.0	0.738568902015686	0.7235795259475708	0.0	0.0	0.0	0.0	0.1549752801656723	1.017723798751831		0.0	0.0	0.0	0.0	0.3312804400920868	0.2764204740524292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9445065855979919	0.9531846046447754	0.0	0.0	0.0	0.0	0.5067335367202759	2.281425714492798		0.0	0.0	0.0	0.0	0.126371830701828	0.046815384179353714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8312877416610718	0.8327261805534363	0.0	0.0	0.0	0.0	0.6929174661636353	1.2785804271697998		0.0	0.0	0.0	0.0	0.23890478909015656	0.16727383434772491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8471368551254272	0.8947746157646179	0.0	0.0	0.0	0.0	0.9230111241340637	1.0670639276504517		0.0	0.0	0.0	0.0	0.2231690138578415	0.10522538423538208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5010539293289185	0.7800325155258179	0.0	0.0	0.0	0.0	0.11321406066417694	-2.596586227416992		0.0	0.0	0.0	0.0	0.5695043206214905	0.21996751427650452	0.0	0.0	0.0	0.0
3	0.0		0.0		0.7404046654701233		0.0		0.0		0.06942486763000488		0.09875000268220901	0.0		0.0		0.3310568928718567		0.0		0.0		0.0		0.0		0.9440923929214478		0.0		0.0		0.39463645219802856		0.09875000268220901	0.0		0.0		0.125900536775589		0.0		0.0		0.0		0.0		0.8316769003868103		0.0		0.0		0.5477254390716553		0.09875000268220901	0.0		0.0		0.23946146667003632		0.0		0.0		0.0		0.0		0.8471746444702148		0.0		0.0		0.9149656295776367		0.09875000268220901	0.0		0.0		0.22333453595638275		0.0		0.0		0.0		0.0		0.49808794260025024		0.0		0.0		0.0691269040107727		0.09875000268220901	0.0		0.0		0.5713847875595093		0.0		0.0	
4	0.0	0.0	0.0	0.0	0.7409653067588806	0.7241506576538086	0.0	0.0	0.0	0.0	0.04545193910598755	-0.6322107911109924		0.0	0.0	0.0	0.0	0.32993370294570923	0.2758493721485138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9441864490509033	0.9531066417694092	0.0	0.0	0.0	0.0	0.313448041677475	2.1673078536987305		0.0	0.0	0.0	0.0	0.12743639945983887	0.04689338058233261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8343607783317566	0.8290851712226868	0.0	0.0	0.0	0.0	0.4478810727596283	1.497463583946228		0.0	0.0	0.0	0.0	0.23610720038414001	0.17091482877731323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8484265804290771	0.8952434062957764	0.0	0.0	0.0	0.0	0.9042298793792725	1.0641733407974243		0.0	0.0	0.0	0.0	0.22356240451335907	0.10475659370422363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5010123252868652	0.7813709378242493	0.0	0.0	0.0	0.0	0.037104275077581406	2.011404275894165		0.0	0.0	0.0	0.0	0.569501519203186	0.21862904727458954	0.0	0.0	0.0	0.0
5	0.0		0.0		0.7398853898048401		0.0		0.0		0.023000255227088928		0.05000000074505806	0.0		0.0		0.3306396007537842		0.0		0.0		0.0		0.0		0.9441014528274536		0.0		0.0		0.29021260142326355		0.05000000074505806	0.0		0.0		0.12684734165668488		0.0		0.0		0.0		0.0		0.8335999250411987		0.0		0.0		0.3970921039581299		0.05000000074505806	0.0		0.0		0.23716983199119568		0.0		0.0		0.0		0.0		0.848242998123169		0.0		0.0		0.9004938006401062		0.05000000074505806	0.0		0.0		0.22332978248596191		0.0		0.0		0.0		0.0		0.500499963760376		0.0		0.0		0.09294827282428741		0.05000000074505806	0.0		0.0		0.5708473324775696		0.0		0.0	
6	0.0	0.0	0.0	0.0	0.7387930154800415	0.7192128896713257	0.0	0.0	0.0	0.0	0.007557397708296776	-3.1611688137054443		0.0	0.0	0.0	0.0	0.33231380581855774	0.2807871401309967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9442118406295776	0.9525654911994934	0.0	0.0	0.0	0.0	0.2671228051185608	2.332475423812866		0.0	0.0	0.0	0.0	0.1269131302833557	0.0474344864487648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.829476535320282	0.8287243247032166	0.0	0.0	0.0	0.0	0.3544560968875885	1.7940051555633545		0.0	0.0	0.0	0.0	0.24158452451229095	0.17127570509910583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8484398126602173	0.8969608545303345	0.0	0.0	0.0	0.0	0.8985635638237	1.061647653579712		0.0	0.0	0.0	0.0	0.22194892168045044	0.10303916782140732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49998071789741516	0.7851940989494324	0.0	0.0	0.0	0.0	0.004106204956769943	0.19142073392868042		0.0	0.0	0.0	0.0	0.5713199973106384	0.21480593085289001	0.0	0.0	0.0	0.0
7	0.0		0.0		0.7398725152015686		0.0		0.0		-0.027320843189954758		0.02500000037252903	0.0		0.0		0.3298760652542114		0.0		0.0		0.0		0.0		0.9442203640937805		0.0		0.0		0.24176254868507385		0.02500000037252903	0.0		0.0		0.1275443136692047		0.0		0.0		0.0		0.0		0.8322640061378479		0.0		0.0		0.31830376386642456		0.02500000037252903	0.0		0.0		0.23887093365192413		0.0		0.0		0.0		0.0		0.8488534092903137		0.0		0.0		0.8922848701477051		0.02500000037252903	0.0		0.0		0.2223050743341446		0.0		0.0		0.05098269134759903		0.026158152148127556		0.49886998534202576		0.5045652985572815		0.026847731322050095		0.08652707189321518		0.02500000037252903	0.010346743278205395		0.005200274754315615		0.5710786581039429		0.43345075845718384		0.005235863383859396	
8	0.0	0.0	0.0	0.0	0.737579345703125	0.7219719290733337	0.0	0.0	0.0	0.0	-0.08896635472774506	0.8515869975090027		0.6295727491378784	8.255808552348753e-07	0.45939889550209045	4.1279059814769425e-07	0.5431953072547913	0.27802836894989014	0.6854352951049805	1.0	0.5821295976638794	4.1279059814769425e-07	0.0	0.0	0.0	0.0	0.9443499445915222	0.9510560631752014	0.0	0.0	0.0	0.0	0.2340509444475174	3.0811097621917725		0.0	0.0	0.0	0.0	0.12603367865085602	0.048943936824798584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8309402465820312	0.8267327547073364	0.0	0.0	0.0	0.0	0.292557030916214	2.0919225215911865		0.0	0.0	0.0	0.0	0.24059894680976868	0.17326723039150238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8473330140113831	0.8931927680969238	0.0	0.0	0.0	0.0	0.8898921012878418	1.0596283674240112		0.0	0.0	0.0	0.0	0.22359119355678558	0.10680721700191498	0.0	0.0	0.0	0.0	0.6280409097671509	0.3624188303947449	0.4577694237232208	0.2213135063648224	0.5131443738937378	0.2213135063648224	0.5084366202354431	0.2213135063648224	0.8212254643440247	1.0	0.14903458952903748	0.5530221462249756		0.5620037913322449	0.8755746483802795	0.3908242881298065	0.7786863446235657	0.46814000606536865	0.7786863446235657	0.43455055356025696	0.7786864638328552	0.795249879360199	0.9999998211860657
9	0.0		0.0		0.7420865297317505		0.0		0.0		0.018757371231913567		0.024687500670552254	0.7907069325447083		0.6538588404655457		0.6679738759994507		0.6849187016487122		0.9351433515548706		0.0		0.0		0.9444563388824463		0.0		0.0		0.22067992389202118		0.024687500670552254	0.0		0.0		0.12655319273471832		0.0		0.0		0.0		0.0		0.8339759707450867		0.0		0.0		0.2708719074726105		0.024687500670552254	0.0		0.0		0.2370988130569458		0.0		0.0		0.0		0.0		0.8487666249275208		0.0		0.0		0.8871210217475891		0.024687500670552254	0.0		0.0		0.2217414528131485		0.0		0.0		0.6676967144012451		0.5011597275733948		0.5039210915565491		0.502319872379303		0.9954127073287964		0.49227410554885864		0.024687500670552254	0.5766080021858215		0.40509429574012756		0.41415661573410034		0.41753652691841125		0.9314794540405273	
10	0.0	0.0	0.0	0.0	0.7395918965339661	0.7299529314041138	0.0	0.0	0.0	0.0	0.6546838879585266	0.7118312120437622		0.8016083240509033	0.8439499139785767	0.6689034700393677	0.7300288081169128	0.6695200800895691	0.7301198840141296	0.6699457168579102	0.7301532626152039	0.9976796507835388	0.9997666478157043	0.0	0.0	0.0	0.0	0.9444500803947449	0.9525505900382996	0.0	0.0	0.0	0.0	0.20821738243103027	1.6599359512329102		0.0	0.0	0.0	0.0	0.1264093667268753	0.04744940996170044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8344512581825256	0.8298685550689697	0.0	0.0	0.0	0.0	0.2478291094303131	2.040126323699951		0.0	0.0	0.0	0.0	0.2362426370382309	0.17013147473335266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8482071161270142	0.8939008116722107	0.0	0.0	0.0	0.0	0.8872660994529724	1.0580123662948608		0.0	0.0	0.0	0.0	0.22104252874851227	0.1060992106795311	0.0	0.0	0.0	0.0	0.6682748198509216	0.3545604646205902	0.5018113851547241	0.21548070013523102	0.5053725838661194	0.24140384793281555	0.5027600526809692	0.2156493067741394	0.9962537884712219	0.9963849186897278	0.4530746638774872	0.13215598464012146		0.5642423629760742	0.7352782487869263	0.39299276471138	0.5813755393028259	0.4044184982776642	0.5854283571243286	0.4112549424171448	0.7427247166633606	0.8984771370887756	0.7279796600341797
