Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,Class_1_IoU
airplane,128,0.9221674500513625,0.68181723,0.9169492,0.44668525
airplane,256,0.9379324449499767,0.71870697,0.9337609,0.503653
backpack,128,0.9805770344355936,0.5111745,0.9805603,0.04178868
backpack,256,0.9772778715723349,0.5172489,0.97724634,0.05725156
banana,128,0.9217292210628807,0.66204196,0.91728985,0.40679407
banana,256,0.924117953562687,0.6721667,0.9196145,0.4247189
baseball_bat,128,0.9916928637515404,0.5096127,0.9916908,0.027534544
baseball_bat,256,0.9890480378342663,0.5456578,0.9890342,0.10228144
bear,128,0.9075913060469442,0.7830728,0.8848418,0.6813038
bear,256,0.9065955577488373,0.77992857,0.88400584,0.6758513
bench,128,0.8946365935491414,0.56219834,0.89114726,0.23324943
bench,256,0.9140711576978999,0.5808548,0.91153497,0.2501746
bicycle,128,0.9366093154608719,0.6165173,0.9348549,0.29817966
bicycle,256,0.9489447045068052,0.6334563,0.9476924,0.3192202
bird,128,0.9351323354130976,0.5757624,0.93394065,0.21758415
bird,256,0.9313483519491962,0.5771476,0.9299578,0.2243374
boat,128,0.9089583354444046,0.58328396,0.90594006,0.2606279
boat,256,0.9138826114567895,0.5981747,0.91081274,0.2855367
boat,512,0.9000337165683685,0.601444,0.89539033,0.30749762
bus,128,0.8800830935472684,0.7007382,0.86033046,0.5411459
bus,256,0.8812768381975579,0.7069049,0.86083996,0.55296975
car,128,0.9386152381535531,0.58948636,0.93739086,0.24158184
car,256,0.9496627719667705,0.608347,0.94871825,0.26797575
cat,128,0.8904967589290148,0.7185173,0.87236863,0.564666
cat,256,0.9070155811121345,0.7571658,0.89002216,0.62430936
cat,512,0.901978937291518,0.7301671,0.8871168,0.5732174
cow,128,0.8997793709111089,0.7078433,0.8870906,0.528596
cow,256,0.9044094588219102,0.7208561,0.89176726,0.5499449
dog,128,0.8731390416003514,0.64783704,0.8593234,0.43635064
dog,256,0.8918403239522359,0.6768255,0.88018775,0.47346336
elephant,128,0.8789933751285541,0.7437109,0.84546584,0.64195585
elephant,256,0.89495986174465,0.77653897,0.8628664,0.6902116
fire_hydrant,128,0.9440799776519471,0.70367897,0.94120973,0.46614814
fire_hydrant,256,0.9366074750630198,0.6677784,0.93378884,0.40176797
frisbee,128,0.9887879402445219,0.6630755,0.98872375,0.33742723
frisbee,256,0.9866224646808954,0.6570314,0.98653466,0.3275282
giraffe,128,0.936270921634248,0.7750512,0.9288304,0.62127197
giraffe,256,0.9556561686685333,0.8349477,0.94995093,0.71994454
handbag,128,0.967809800987433,0.4973377,0.96778065,0.026894722
handbag,256,0.9693010631431533,0.4974514,0.9692767,0.025626065
horse,128,0.9038136916416503,0.67139804,0.8957018,0.44709432
horse,256,0.9228956179045414,0.70957536,0.9163761,0.5027746
kite,128,0.9678192330976032,0.661207,0.9672387,0.35517532
kite,256,0.9633359187969511,0.6698632,0.96250314,0.37722328
motorcycle,128,0.8854316209974409,0.6642134,0.8733079,0.4551189
motorcycle,256,0.8832169987455863,0.6711767,0.8695554,0.47279793
parking_meter,128,0.9141736589634213,0.602622,0.9109884,0.29425558
parking_meter,256,0.9291680338755293,0.6279141,0.926617,0.32921106
pizza,128,0.9119395690987163,0.7825748,0.8924826,0.67266697
pizza,256,0.9158566998189753,0.7856537,0.89822483,0.67308253
sheep,128,0.8739939853900447,0.6787549,0.855674,0.5018358
sheep,256,0.8887298224161575,0.7054327,0.8721076,0.5387578
skateboard,128,0.962603173008239,0.53086984,0.9624483,0.099291384
skateboard,256,0.9643264441282777,0.55029726,0.9641244,0.1364702
skis,128,0.9881488449824245,0.5416537,0.9881338,0.09517361
skis,256,0.9881251769693795,0.5741308,0.98809814,0.16016337
snowboard,128,0.9726231186788289,0.54225576,0.9725283,0.11198328
snowboard,256,0.9703105550606425,0.5368043,0.9702085,0.10340008
sports_ball,128,0.996126448914649,0.5623499,0.9961241,0.12857571
sports_ball,256,0.9964205953459001,0.5987693,0.9964172,0.20112136
stop_sign,128,0.9864412016220242,0.9157324,0.98534894,0.8461159
stop_sign,256,0.9867815508537695,0.91721374,0.9857229,0.8487046
suitcase,128,0.8496094186342888,0.53310555,0.84280866,0.22340243
suitcase,256,0.8457799775293394,0.537217,0.8380484,0.23638564
surfboard,256,0.9702192650178667,0.66799545,0.9696971,0.36629373
surfboard,128,0.9627579499339941,0.6475457,0.96205264,0.33303872
tie,128,0.9883648559491494,0.50993526,0.98836035,0.031510234
tie,256,0.9861635089318205,0.5041735,0.986159,0.022187963
traffic_light,256,0.985639588417346,0.6260619,0.98556364,0.26656023
traffic_light,128,0.9837823031731677,0.6131529,0.9836979,0.24260794
train,128,0.8607326988964946,0.6981612,0.82973415,0.5665882
train,256,0.8691277957091285,0.70580184,0.8416667,0.56993705
truck,128,0.8840990342698007,0.5614516,0.8796135,0.24328975
truck,256,0.8625641422429441,0.56391954,0.85509545,0.27274367
truck_batch16,128,0.891817844561744,0.5731498,0.88757265,0.25872692
truck_batch16,256,0.876551667124633,0.563455,0.8710803,0.25582972
truck_batch16,512,0.8740516715375839,0.5642259,0.8682125,0.26023924
umbrella,256,0.9336554010748893,0.66423965,0.9306131,0.39786625
umbrella,128,0.9265601195181093,0.63681227,0.9235353,0.35008928
zebra,128,0.9297639238809009,0.82590866,0.91226673,0.73955053
zebra,256,0.9468082501522508,0.865171,0.93269664,0.7976454

